FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,TIME_PERIOD,Osservazione,OBS_STATUS,"'Stato dell""'osservazione'",NOTE_REF_AREA,Territorio (NOTE_REF_AREA),NOTE_DATA_TYPE,Indicatore (NOTE_DATA_TYPE),NOTE_TIME_PERIOD,Tempo (NOTE_TIME_PERIOD),BASE_PER,Anno base,UNIT_MEAS,Unità di misura,UNIT_MULT,Unità di moltiplicazione,Regione
012133,Varese,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2022,7.4,,,,,,,,,,,,,,,,,
012133,Varese,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2023,9.9,,,,,,,,,,,,,,,,,
013075,Como,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2015,0.3,,,,,,,,,,,,,,,,,
013075,Como,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2016,0.2,,,,,,,,,,,,,,,,,
013075,Como,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2017,0.3,,,,,,,,,,,,,,,,,
013075,Como,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2018,0.6,,,,,,,,,,,,,,,,,
013075,Como,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2019,1.1,,,,,,,,,,,,,,,,,
013075,Como,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2020,2.9,,,,,,,,,,,,,,,,,
013075,Como,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2021,5.6,,,,,,,,,,,,,,,,,
013075,Como,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2022,7.5,,,,,,,,,,,,,,,,,
013075,Como,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2023,9.7,,,,,,,,,,,,,,,,,
014061,Sondrio,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2015,0,,,,,,,,,,,,,,,,,
014061,Sondrio,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2016,0.1,,,,,,,,,,,,,,,,,
014061,Sondrio,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2017,0,,,,,,,,,,,,,,,,,
014061,Sondrio,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2018,0.2,,,,,,,,,,,,,,,,,
014061,Sondrio,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2019,0.7,,,,,,,,,,,,,,,,,
014061,Sondrio,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2020,1.3,,,,,,,,,,,,,,,,,
014061,Sondrio,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2021,3.3,,,,,,,,,,,,,,,,,
014061,Sondrio,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2022,4.8,,,,,,,,,,,,,,,,,
014061,Sondrio,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2023,6.4,,,,,,,,,,,,,,,,,
015146,Milano,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2015,0.3,,,,,,,,,,,,,,,,,
015146,Milano,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2016,0.5,,,,,,,,,,,,,,,,,
015146,Milano,FULECAR1000,Autovetture elettriche - per 1.000 autovetture,2017,0.6,,,,,,,,,,,,,,,,,
